id,project_name,job_name,workflow_name,step,labels
13246,grimanticheat/grim,Analyze (java),CodeQL,Autobuild,['ubuntu-latest']
13272,apache/flink,build-documentation (release-1.18),Build documentation,Build documentation,['ubuntu-latest']
13299,countly/countly-sdk-android,Analyze (cpp),CodeQL,Autobuild,['ubuntu-latest']
13335,jdbi/jdbi,"ci (17, temurin)",CI Build with tests,run tests,['ubuntu-latest']
13399,jpos/jpos,run-lint,Lint Code Base,Lint Code Base,['ubuntu-latest']
13402,jpos/jpos,run-lint,Lint Code Base,Lint Code Base,['ubuntu-latest']
13403,jpos/jpos,"build (21, ubuntu-latest)",Run jPOS Tests,Assemble,['ubuntu-latest']
13417,cc-tweaked/cc-tweaked,Test on macOS,Build,Run tests,['macos-latest']
13520,jfrog/jenkins-artifactory-plugin,create-fix-pull-requests (master),Frogbot Scan and Fix,Run jfrog/frogbot@v2,['ubuntu-latest']
13559,ballerina-platform/module-ballerinax-mongodb,Run Connector Build Workflow / Build,CI,Build the Package,['ubuntu-latest']
13583,izpack/izpack,"build (8, ubuntu-latest)",CI,Running Maven GUI tests,['ubuntu-latest']
13586,izpack/izpack,"build (8, ubuntu-latest)",CI,Running Maven GUI tests,['ubuntu-latest']
13614,streamnative/kop,Unit Test (security_test),kop tests,Build with Maven skipTests,['ubuntu-latest']
13639,streamnative/kop,Unit Test (producer_test),kop tests,Build with Maven skipTests,['ubuntu-latest']
13640,streamnative/kop,Unit Test (format_test),kop tests,Build with Maven skipTests,['ubuntu-latest']
13646,streamnative/kop,Unit Test (end_to_end_test),kop tests,Build with Maven skipTests,['ubuntu-latest']
13765,tonivade/claudb,build,Java CI with Gradle,Codacy Coverage Reporter,['ubuntu-latest']
13811,arakoodev/edgechains,formatting,Prettier JS,Run Prettiers,['ubuntu-latest']
13888,vaadin/platform,run,SBOM,Generate And Check SBOM,['ubuntu-latest']
13944,remkop/picocli,"build-java-6-7 (6, ubuntu-latest)",Build,Build,['ubuntu-latest']
13951,remkop/picocli,"build-java-8-plus (15, ubuntu-latest)",Build,Build,['ubuntu-latest']
14016,schemacrawler/schemacrawler,"Build, run single-threaded database integration tests (8)",Single-Threaded Database Integration Tests,Build and run database integration tests,['ubuntu-latest']
